"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_password_reset","tests.pytest","2026-09-18","passed","2026-09-18","TestUserAutentication","test_markers","",""
"","4119","User login with correct email and password","LMS system","2026-09-18","passed","2026-09-18","Авторизация","Аутентификация","",""
"","1533","Navigation from login page to registration page","LMS system","2026-09-18","passed","2026-09-18","Авторизация","Аутентификация","",""
"","3203","Create course","LMS system","2026-09-18","passed","2026-09-18","Курсы","Курсы","",""
"","0","test_critical_login","tests.pytest","2026-09-18","passed","2026-09-18","","test_markers","",""
"","4238","Check edit course","LMS system","2026-09-18","passed","2026-09-18","Курсы","Курсы","",""
"","1658","User login with wrong email or password","LMS system","2026-09-18","passed","2026-09-18","Авторизация","Аутентификация","",""
"","2136","User login with wrong email or password","LMS system","2026-09-18","passed","2026-09-18","Авторизация","Аутентификация","",""
"","0","test_logout","tests.pytest","2026-09-18","passed","2026-09-18","TestUserAutentication","test_markers","",""
"","0","test_login","tests.pytest","2026-09-18","passed","2026-09-18","TestUserAutentication","test_markers","",""
"","2264","Registration with correct email, username and password","LMS system","2026-09-18","passed","2026-09-18","Регистрация","Аутентификация","",""
"","1875","Check displaying of dashboard page","LMS system","2026-09-18","passed","2026-09-18","Дашборд","Дашборд","",""
"","1974","User login with wrong email or password","LMS system","2026-09-18","passed","2026-09-18","Авторизация","Аутентификация","",""
"","1851","Check displaying of empty courses list","LMS system","2026-09-18","passed","2026-09-18","Курсы","Курсы","",""
"","1","test_forgot_password_link","tests.pytest","2026-09-18","passed","2026-09-18","TestUserInterface","test_markers","",""
"","1","test_regression_case","tests.pytest","2026-09-18","passed","2026-09-18","","test_markers","",""
